$0;1496076212983357044;1.10;KIEKER-SINGLETON;a6b9179e06cd;1;false;0;NANOSECONDS;1
$1;1496076220834272397;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();574C59CF4C790635254447EF050FFB87;6081829821787144328;1496076220818132266;1496076220834261837;a6b9179e06cd;3;3
$1;1496076220834320142;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();574C59CF4C790635254447EF050FFB87;6081829821787144328;1496076220818100353;1496076220834313419;a6b9179e06cd;2;2
$1;1496076220836955175;HTTP_VetsService.GET;574C59CF4C790635254447EF050FFB87;6081829821787144328;1496076220817451216;1496076220836921836;a6b9179e06cd;1;1
$1;1496076221067703263;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();4473FF19B0B62716A04BD0DEAD1F56D2;6081829821787144335;1496076221054154254;1496076221067682340;a6b9179e06cd;4;4
$1;1496076221069879348;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();4473FF19B0B62716A04BD0DEAD1F56D2;6081829821787144335;1496076221052289035;1496076221069870977;a6b9179e06cd;3;3
$1;1496076221069935059;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();4473FF19B0B62716A04BD0DEAD1F56D2;6081829821787144335;1496076221052258755;1496076221069930421;a6b9179e06cd;2;2
$1;1496076221072366298;HTTP_VetsService.GET;4473FF19B0B62716A04BD0DEAD1F56D2;6081829821787144335;1496076221051611747;1496076221072329080;a6b9179e06cd;1;1
$1;1496076221340600537;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();F2048D806D14273B164DC8A629980ADA;6081829821787144342;1496076221324781355;1496076221340583408;a6b9179e06cd;4;4
$1;1496076221342907715;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();F2048D806D14273B164DC8A629980ADA;6081829821787144342;1496076221322290587;1496076221342898987;a6b9179e06cd;3;3
$1;1496076221342990991;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();F2048D806D14273B164DC8A629980ADA;6081829821787144342;1496076221322213595;1496076221342985008;a6b9179e06cd;2;2
$1;1496076221345392915;HTTP_VetsService.GET;F2048D806D14273B164DC8A629980ADA;6081829821787144342;1496076221320872033;1496076221345358702;a6b9179e06cd;1;1
$1;1496076221613533016;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();56CC18765DA3E86ACBF8E85EACCD5981;6081829821787144349;1496076221602839362;1496076221613518195;a6b9179e06cd;4;4
$1;1496076221615592311;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();56CC18765DA3E86ACBF8E85EACCD5981;6081829821787144349;1496076221601016118;1496076221615583586;a6b9179e06cd;3;3
$1;1496076221615643373;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();56CC18765DA3E86ACBF8E85EACCD5981;6081829821787144349;1496076221600986124;1496076221615637438;a6b9179e06cd;2;2
$1;1496076221617930633;HTTP_VetsService.GET;56CC18765DA3E86ACBF8E85EACCD5981;6081829821787144349;1496076221600325607;1496076221617896605;a6b9179e06cd;1;1
$1;1496076221862340252;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();B776C39B03FC93727BF535CA59378E49;6081829821787144356;1496076221850522497;1496076221862325790;a6b9179e06cd;4;4
$1;1496076221864455802;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();B776C39B03FC93727BF535CA59378E49;6081829821787144356;1496076221848924851;1496076221864447505;a6b9179e06cd;3;3
$1;1496076221864502996;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();B776C39B03FC93727BF535CA59378E49;6081829821787144356;1496076221848876205;1496076221864497413;a6b9179e06cd;2;2
$1;1496076221868803616;HTTP_VetsService.GET;B776C39B03FC93727BF535CA59378E49;6081829821787144356;1496076221848145037;1496076221868760899;a6b9179e06cd;1;1
$1;1496076222112686397;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();4CBB1FD7F74269EF5367245EEF91C964;6081829821787144363;1496076222100955779;1496076222112672055;a6b9179e06cd;4;4
$1;1496076222114744389;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();4CBB1FD7F74269EF5367245EEF91C964;6081829821787144363;1496076222098356014;1496076222114736155;a6b9179e06cd;3;3
$1;1496076222114798793;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();4CBB1FD7F74269EF5367245EEF91C964;6081829821787144363;1496076222098327415;1496076222114789793;a6b9179e06cd;2;2
$1;1496076222117190295;HTTP_VetsService.GET;4CBB1FD7F74269EF5367245EEF91C964;6081829821787144363;1496076222097610573;1496076222117107616;a6b9179e06cd;1;1
$1;1496076222364234161;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();57F9F61C481D0FCCB4A47315F9538449;6081829821787144370;1496076222351578938;1496076222364213308;a6b9179e06cd;4;4
$1;1496076222366637526;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();57F9F61C481D0FCCB4A47315F9538449;6081829821787144370;1496076222349567181;1496076222366629105;a6b9179e06cd;3;3
$1;1496076222366695497;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();57F9F61C481D0FCCB4A47315F9538449;6081829821787144370;1496076222349538144;1496076222366689343;a6b9179e06cd;2;2
$1;1496076222369336844;HTTP_VetsService.GET;57F9F61C481D0FCCB4A47315F9538449;6081829821787144370;1496076222348898522;1496076222369307668;a6b9179e06cd;1;1
$1;1496076222612018272;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();687050F94CD1C2FC7DAB9C32A5B9A244;6081829821787144377;1496076222601848425;1496076222612003788;a6b9179e06cd;4;4
$1;1496076222614236298;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();687050F94CD1C2FC7DAB9C32A5B9A244;6081829821787144377;1496076222599809958;1496076222614227570;a6b9179e06cd;3;3
$1;1496076222614283548;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();687050F94CD1C2FC7DAB9C32A5B9A244;6081829821787144377;1496076222599781884;1496076222614278206;a6b9179e06cd;2;2
$1;1496076222616545852;HTTP_VetsService.GET;687050F94CD1C2FC7DAB9C32A5B9A244;6081829821787144377;1496076222599147108;1496076222616517454;a6b9179e06cd;1;1
$1;1496076222860670757;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();DB53AB42E5A4D4F1FEBFE5ADCD169EE2;6081829821787144384;1496076222850180173;1496076222860657675;a6b9179e06cd;4;4
$1;1496076222862895389;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();DB53AB42E5A4D4F1FEBFE5ADCD169EE2;6081829821787144384;1496076222848445065;1496076222862886977;a6b9179e06cd;3;3
$1;1496076222862977267;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();DB53AB42E5A4D4F1FEBFE5ADCD169EE2;6081829821787144384;1496076222848416751;1496076222862971533;a6b9179e06cd;2;2
$1;1496076222864964938;HTTP_VetsService.GET;DB53AB42E5A4D4F1FEBFE5ADCD169EE2;6081829821787144384;1496076222847737369;1496076222864935448;a6b9179e06cd;1;1
$1;1496076223112974887;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();A9B12A5E77DA4307879B6758125881A6;6081829821787144391;1496076223102169617;1496076223112959675;a6b9179e06cd;4;4
$1;1496076223115192473;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();A9B12A5E77DA4307879B6758125881A6;6081829821787144391;1496076223100270657;1496076223115184082;a6b9179e06cd;3;3
$1;1496076223115239750;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();A9B12A5E77DA4307879B6758125881A6;6081829821787144391;1496076223100236269;1496076223115234024;a6b9179e06cd;2;2
$1;1496076223119661906;HTTP_VetsService.GET;A9B12A5E77DA4307879B6758125881A6;6081829821787144391;1496076223099555155;1496076223119627620;a6b9179e06cd;1;1
