$0;1494946399607628626;1.10;KIEKER-SINGLETON;6eea74558600;1;false;0;NANOSECONDS;1
$1;1494946524607582722;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();BE1FE0077A9C97E4FABB439A231FAFE1;4164281542945800414;1494946524590811927;1494946524607579431;6eea74558600;2;2
$1;1494946524611608239;HTTP_VetsService.GET;BE1FE0077A9C97E4FABB439A231FAFE1;4164281542945800414;1494946524590468466;1494946524611582159;6eea74558600;1;1
$1;1494946524912976365;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();14D6EC34B4E7B456013BD2CE1AED53FB;4164281542945800422;1494946524886633105;1494946524912970186;6eea74558600;4;4
$1;1494946524920576132;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();14D6EC34B4E7B456013BD2CE1AED53FB;4164281542945800422;1494946524884686183;1494946524920569650;6eea74558600;3;3
$1;1494946524920725982;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();14D6EC34B4E7B456013BD2CE1AED53FB;4164281542945800422;1494946524884671694;1494946524920722719;6eea74558600;2;2
$1;1494946524923280386;HTTP_VetsService.GET;14D6EC34B4E7B456013BD2CE1AED53FB;4164281542945800422;1494946524884343211;1494946524923265069;6eea74558600;1;1
$1;1494946525281778273;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();A60F56375CC0C00A6E2E16F8EEFF79B2;4164281542945800430;1494946525267950062;1494946525281771306;6eea74558600;4;4
$1;1494946525290170395;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();A60F56375CC0C00A6E2E16F8EEFF79B2;4164281542945800430;1494946525263587829;1494946525290162046;6eea74558600;3;3
$1;1494946525290335515;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();A60F56375CC0C00A6E2E16F8EEFF79B2;4164281542945800430;1494946525263578249;1494946525290331700;6eea74558600;2;2
$1;1494946525294669273;HTTP_VetsService.GET;A60F56375CC0C00A6E2E16F8EEFF79B2;4164281542945800430;1494946525263283322;1494946525294638233;6eea74558600;1;1
$1;1494946525633225020;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();80C0AAB3E8CC602BB1DAAF258B561B2B;4164281542945800438;1494946525612418467;1494946525632918530;6eea74558600;4;4
$1;1494946525634536681;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();80C0AAB3E8CC602BB1DAAF258B561B2B;4164281542945800438;1494946525610690758;1494946525634530912;6eea74558600;3;3
$1;1494946525634698303;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();80C0AAB3E8CC602BB1DAAF258B561B2B;4164281542945800438;1494946525610680461;1494946525634695283;6eea74558600;2;2
$1;1494946525645820590;HTTP_VetsService.GET;80C0AAB3E8CC602BB1DAAF258B561B2B;4164281542945800438;1494946525609826904;1494946525645805174;6eea74558600;1;1
$1;1494946526130107150;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();BADF2EDB1C42F060957F7DC45969CE6A;4164281542945800446;1494946526121532851;1494946526130101425;6eea74558600;4;4
$1;1494946526131848375;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();BADF2EDB1C42F060957F7DC45969CE6A;4164281542945800446;1494946526107239626;1494946526131659026;6eea74558600;3;3
$1;1494946526140217224;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();BADF2EDB1C42F060957F7DC45969CE6A;4164281542945800446;1494946526107220509;1494946526140194408;6eea74558600;2;2
$1;1494946526142679813;HTTP_VetsService.GET;BADF2EDB1C42F060957F7DC45969CE6A;4164281542945800446;1494946526106750113;1494946526142660211;6eea74558600;1;1
$1;1494946526527694102;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();38250F1F4DDD36483D3F36AE02E93803;4164281542945800454;1494946526513094919;1494946526527678876;6eea74558600;4;4
$1;1494946526530721663;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();38250F1F4DDD36483D3F36AE02E93803;4164281542945800454;1494946526507010238;1494946526530286714;6eea74558600;3;3
$1;1494946526531196106;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();38250F1F4DDD36483D3F36AE02E93803;4164281542945800454;1494946526506992723;1494946526530876643;6eea74558600;2;2
$1;1494946526537692007;HTTP_VetsService.GET;38250F1F4DDD36483D3F36AE02E93803;4164281542945800454;1494946526506489005;1494946526537671556;6eea74558600;1;1
$1;1494946526899564586;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();90E26355F66970091381C9D9A43E7390;4164281542945800462;1494946526878953520;1494946526899559855;6eea74558600;4;4
$1;1494946526900733207;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();90E26355F66970091381C9D9A43E7390;4164281542945800462;1494946526878055149;1494946526900727809;6eea74558600;3;3
$1;1494946526900851606;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();90E26355F66970091381C9D9A43E7390;4164281542945800462;1494946526878043863;1494946526900848921;6eea74558600;2;2
$1;1494946526903192016;HTTP_VetsService.GET;90E26355F66970091381C9D9A43E7390;4164281542945800462;1494946526877670047;1494946526903177920;6eea74558600;1;1
